ticker,security,gics_sector,gics_sub_industry,index_membership,rows,last_close,median_dv_126d,passes
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,S&P 500,5620,117.52999877929688,256061091.88156128,True
AA,Alcoa,Materials,Aluminum,S&P 400,5620,63.060001373291016,335312359.2798233,True
AAL,American Airlines Group,Industrials,Passenger Airlines,S&P 400,5183,12.369999885559082,716945184.663105,True
AAON,AAON,Industrials,Building Products,S&P 400,5620,93.66000366210938,75375733.33396912,True
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,S&P 600,5620,56.900001525878906,78270636.58771515,True
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",S&P 500,5620,284.17999267578125,11590098085.359192,True
ABBV,AbbVie,Health Care,Biotechnology,S&P 500,3355,206.1100006103516,1329822311.4311218,True
ABCB,Ameris Bancorp,Financials,Regional Banks,S&P 600,5620,86.58000183105469,37833202.19116211,True
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,S&P 600,5620,198.5,42844407.42263794,True
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,S&P 600,5620,40.70000076293945,23271780.974197388,True
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",S&P 500,1355,139.72999572753906,516880585.29052734,True
ABR,Arbor Realty Trust,Financials,Mortgage REITs,S&P 600,5554,8.0,26111977.314972878,True
ABT,Abbott Laboratories,Health Care,Health Care Equipment,S&P 500,5620,87.16999816894531,905654237.626648,True
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering,S&P 600,1883,131.25,26047243.321228027,True
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,S&P 600,5519,22.350000381469727,35879914.630031586,True
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,S&P 500,5620,94.13999938964844,180238386.99188232,True
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,S&P 600,5620,25.270000457763672,53786296.228313446,True
ACI,Albertsons,Consumer Staples,Food Retail,S&P 400,1471,16.1299991607666,111600846.2135315,True
ACIW,ACI Worldwide,Information Technology,Application Software,S&P 600,5620,44.15999984741211,30772852.82306671,True
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,S&P 600,5620,139.6999969482422,53781163.399124146,True
ACM,AECOM,Industrials,Construction & Engineering,S&P 400,4777,84.58999633789062,113065082.7468872,True
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment,S&P 600,2136,52.79999923706055,55412558.75205994,True
ACN,Accenture,Information Technology,IT Consulting & Other Services,S&P 500,5620,179.00999450683594,1081810919.4908142,True
ADBE,Adobe Inc.,Information Technology,Application Software,S&P 500,5620,255.6199951171875,1319391580.154419,True
ADC,Agree Realty,Real Estate,Retail REITs,S&P 400,5620,75.94999694824219,82806268.66226196,True
ADI,Analog Devices,Information Technology,Semiconductors,S&P 500,5620,404.7699890136719,1083718698.4283447,True
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,S&P 500,5620,79.19000244140625,212555441.1956787,True
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,S&P 600,3155,10.25,47693409.52539444,True
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,S&P 500,5620,210.6000061035156,628613612.9974365,True
ADSK,Autodesk,Information Technology,Application Software,S&P 500,5620,249.42999267578125,442860402.20336914,True
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services,S&P 600,2084,7.010000228881836,55790730.57951927,True
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,S&P 600,4154,98.44000244140624,21626568.116760254,True
AEE,Ameren,Utilities,Multi-Utilities,S&P 500,5620,111.63999938964844,178277965.2191162,True
